page_id,title
21488,Nanotechnology
60786392,Nanotechnology in warfare
14431229,Outline of nanotechnology
7064233,History of nanotechnology
49615253,5D optical data storage
11591432,Acoustic droplet ejection
63883339,Nanotechnology in agriculture
54457921,Alternating current electrospinning
67958010,Antimicrobial nanotechnology
38324933,Applications of nanotechnology
11448262,Artificial enzyme
3211,Atom probe
63675213,Atomic manipulation
39455714,Auger architectomics
10203313,Biological computing
59761651,Warwick Bowen
39271639,A Boy and His Atom
508390,Brownian motor
432276,Brownian ratchet
1249261,Bulk micromachining
51056408,Carbon nanotubes in interconnects
64240712,Centre for Nanosciences and Nanotechnologies
5624034,Chemical compound microarray
52937983,Chemosynthesis (nanotechnology)
51623139,Clinatec
13751165,Coherent diffraction imaging
15368504,Computational gene
73438573,Dark-field X-ray microscopy
1440307,Dielectrophoresis
49261105,Directed assembly of micro- and nano-structures
71988529,Directional freezing
45522513,Electro sinter forging
9673324,Electron beam-induced deposition
1352090,Electrospinning
10209776,Energy applications of nanotechnology
263902,Evanescent field
183275,Exploratory engineering
17837667,Extended metal atom chains
9590785,Feature-oriented positioning
8984619,Feature-oriented scanning
1498102,Femtotechnology
9548739,Feynman Prize in Nanotechnology
46306612,Fidgetin-like 2
53307338,FlowFET
7901142,Fluorescence interference contrast microscopy
67555055,Focal molography
7920461,Gas cluster ion beam
961961,Gene gun
63399479,Glossary of nanotechnology
68446173,Grating-coupled interferometry
175996,Gray goo
19606838,Grazing-incidence small-angle scattering
51408572,HeiQ Materials AG
2036687,Hydrogen-terminated silicon surface
36510964,IBM (atoms)
37384533,IEEE P1906.1
7200558,Impact of nanotechnology
7067473,Industrial applications of nanotechnology
1686404,Integrated nanoliter system
53384839,"International Union for Vacuum Science, Technique and Applications"
57091934,Ion implantation-induced nanoparticle formation
33558290,Ion track
7507272,Ion-beam sculpting
24135147,Kodecyte
1041078,Lab-on-a-chip
2227503,Langmuir–Blodgett film
14756976,Linear acetylenic carbon
63801647,Linear chain compound
2174453,Lotus effect
41596497,Magnetic 3D bioprinting
22682042,Magnetolithography
20433319,Materiomics
96558,Maxwell's demon
312671,Mechanosynthesis
31894500,MEMS for in situ mechanical characterization
70691371,Meta-waveguide
3238520,Microfabrication
18906,Microfluidics
410778,Micromachinery
46840724,Micromotor
156428,Microtechnology
11763579,Microvesicle
1592956,Millipede memory
294218,Molecular assembler
177515,Molecular engineering
1762926,Molecular machine
19637,Molecular nanotechnology
12222140,Molecular spring
49808784,Multi-parametric surface plasmon resonance
43940392,Nano flake
67352502,Nano tape
3544225,Nano-abacus
62307595,Nano-interfaces in bone
53121641,Nano-suction technology
22730221,Nanoarchitectures for lithium-ion batteries
3485752,Nanoart
21399554,Nanobama
30737379,Nanobiomechanics
2154572,Nanobiotechnology
3037149,Nanocar
58797296,Nanocar Race
4653948,Nanochemistry
12682423,Nanochondrion
21561,Nanoengineering
79328533,Nanofilm
8702779,Nanofiltration
24833024,Nanofluidic circuitry
10172238,Nanofluidics
33511110,Nanofoundry
52122213,Nanohole
21370273,Nanoindenter
60362836,Nanoinformatics
47654333,Nanolamination
10215914,NanoLanguage
6736363,Nanomanufacturing
14661057,Nanomechanics
21514,Nanomedicine
11172708,Nanometrology
18536695,Nanomorphic cell
67633513,Nanoneuroscience
44594133,Nanophotonic resonator
52772118,Nanopipette
625341,Nanopore
733009,Nanopore sequencing
3765946,Nanoprobe (device)
11519910,NanoPutian
33599550,Nanoreactor
1006597,Nanorobotics
1545858,Nanoruler
26968133,Nanonetwork
603278,Nanosensor
79987827,Nanosphere
12368774,Nanosubmarine
905278,Nanotechnology education
63888621,Nanotechnology in cosmetics
38262855,Nanothermometry
41067335,Nanotopography
2536597,Nanotribology
55567666,Newlab
44524545,Optoelectrowetting
33980770,Organ-on-a-chip
1498080,Picotechnology
69092857,Plasmonic catalysis
30869356,Plasmonic metamaterial
44522280,Plasmonics
14669487,Productive nanosystems
1659679,Protein microarray
70704600,Protein nanoparticles
399116,Quantum solvent
55481097,RNA origami
42951933,Robotic sperm
35033195,Roller electrospinning
80520491,RxScanner
42744699,Salvinia effect
46777482,SAMSON
60944280,Scanning helium microscopy
7886048,Scanning probe lithography
24117996,SEEC microscopy
3312554,Selective leaching
74143959,Selective organ targeting
1753270,Self-assembled monolayer
351914,Self-assembly
53391053,Shu Jie Lam
33987226,Silanization of silicon and mica
51167783,Silicon nanowire
55274673,Single colour reflectometry
32997323,Single-molecule electric motor
19079770,Societal impact of nanotechnology
56859193,Solvated metal atom dispersion
32747596,Structural coloration
1249227,Surface micromachining
1991073,Surface plasmon resonance
31562046,Synthetic ion channels
3200021,Synthetic molecular motor
2547900,Synthetic setae
24812935,Technomimetics
62507181,TectoRNA
10635829,Teeny Ted from Turnip Town
35756148,Thermal conductance quantum
29284770,Thermal scanning probe lithography
22898551,Thermal transport in nanostructures
32855569,Thermochemical nanolithography
1033036,Thin film
13007524,Tomlinson model
23735926,Trojan wave packet
39154794,Tunable resistive pulse sensing
518104,Utility fog
56007469,Virus nanotechnology
30380229,Wet nanotechnology
72616588,Mayra Álvarez
2164351,Phaedon Avouris
68087771,Katalin Balázsi
67164923,Sara Bals
74939785,Ray Baughman
81306976,Jeannette Benavides
80347721,Harish Bhaskaran
19577291,Walter De Brouwer
81750753,Per Delsing
61717182,Marija Drndic
47153428,Nashwa Eassa
20219113,Thomas Ebbesen
72447224,Ana Flávia Nogueira
80360639,Aaron D. Franklin
22327648,Ille Gebeshuber
44899778,Yury Gogotsi
64685180,Renata Gomes
73752273,Teodor Gotszalk
81288642,Robert J. Hamers
69049663,Andrea Hodge
68780641,Liv Hornekær
33069429,Hyeon Taeghwan
15759971,Mamadsho Ilolov
72980753,Oxana Kharissova
55751988,Tessy María López Goerne
75049006,Christopher B. Murray
68928715,Bridget Mutuma
81109022,Ki Tae Nam
79600463,Douglas Natelson
66732565,Chiara Neto
10720277,Tom Newman (scientist)
61310609,Nguyen TK Thanh
81377611,Rose Osuji
64473976,Mark Petrokovets
2251815,Chris Phoenix (nanotechnologist)
78010827,Stephan Roche
29267271,Leonard H. Rome
68447213,Adriana Cristina Serquis
54932727,Gagik Shmavonyan
50312945,Supeno Surija
81317939,Ruchira Wijesena
81027425,Wolf-Dieter Schneider (physicist)
3183280,Miguel José Yacamán
63215116,Linda Zou
7664801,3M
71884733,Acuitas Therapeutics
38402309,Alphabet Energy
29771132,Amroy Europe
5667842,ApNano
2875651,ASML
17737696,Aspex
5920338,Atomistix
10215849,Atomistix ToolKit
4671396,Atomistix Virtual NanoLab
44309225,Ayoxxa Biosystems
23748305,Bayer
8045367,BIOVIA
36974622,CytoViva
9246109,Eikos
3846227,EyePoint Pharmaceuticals
42492930,HZO
31790695,Izon Science
57094192,Kastus
47487717,Keystone Nano
52174112,Multibeam Corporation
34347641,NanoAndMore
31387219,Nanobiotix
26697376,Nanoco
2154537,NanoInk
30784853,NanoIntegris
23172649,NanoScale Corporation
34346840,Nanosensors (company)
43014538,NanoSight
869886,Nanosys
50049257,Nanotronics Imaging
34335144,NanoWorld
44515952,OCSiAl
26974467,Optogan
860879,Oxford Instruments
26057471,P2i
48649435,Research Frontiers
14233462,RTI Surgical
68762405,Theranautilus
6207166,Veredus Laboratories
38428702,Xolve
29162730,Zyvex
26338806,Zyvex Technologies
26901564,DNA nanotechnology
27216689,Coding theory approaches to nucleic acid design
253418,DNA computing
3293508,DNA machine
4415615,DNA origami
47851444,DNA walker
42283768,Doctor in a cell
81717447,Guanine radical cation
17982852,Nucleic acid design
29145096,NUPACK
38959571,Transcriptor
16065393,Green nanotechnology
45714927,Mercury nano-trap water filtration
43424809,Nanoremediation
55566398,Nanotechnology for water purification
19079647,Pollution from nanomaterials
18069384,Regulation of nanotechnology
21924889,Nanopunk
3165257,Nanotechnology in fiction
47614930,Amnesia (Code Lyoko)
52192882,Ana (Overwatch)
44254295,Avengers: Endgame
22829145,Baldr Sky
