page_id,title,in_degree,out_degree,total_degree,pagerank,betweenness_centrality,closeness_centrality,eigenvector_centrality,katz_centrality,hub_score,authority_score,clustering_coefficient,core_number,avg_neighbor_degree,avg_neighbor_pagerank,community_size,bridging_score,year,is_breakout,uncertainty,predicted_growth
21488,Nanotechnology,146,41,187,0.0299947096103466,0.1187665353362202,0.180140013825746,0,0.0498218375609174,0.0124274775658348,0.0808731060043356,0.013739085772984,7,6.390243902439025,0.0010040476532909,135,0.0006317368900862,2020,False,0.0,0.0
8984619,Feature-oriented scanning,4,3,7,0.0038941350419671,0.0023199398600129,0.1467741787526029,0,0.0266795561467767,0.0002619341861706,0.0015730778234792,0.2,3,4.0,0.0081883204015182,92,0.0002899924825016,2020,False,0.0,0.0
7200558,Impact of nanotechnology,3,6,9,0.0004791713855414,0.0002100541391494,0.1162057655490577,0,0.0272219507639468,0.0023442798734019,0.0040679874302892,0.3055555555555556,6,7.0,0.0024032851467527,123,2.1005413914946293e-05,2020,False,0.0,0.0
2227503,Langmuir–Blodgett film,16,1,17,0.0036568482975363,0.000847734063555,0.139708463364075,0,0.0280837648556452,5.391906903157761e-05,0.0020496187235603,0.0833333333333333,5,4.0,0.0014094536456939,110,4.709633686416728e-05,2020,False,0.0,0.0
3238520,Microfabrication,8,10,18,0.002846349989679,0.0084718460286319,0.1252950306424659,0,0.0279474824036538,0.0011181561971091,0.0002291428656785,0.0857142857142857,5,6.7,0.0021017715936782,63,0.0004458866330858,2020,False,0.0,0.0
18906,Microfluidics,14,3,17,0.0032948972799927,0.0030957158543721,0.1286492154005975,0,0.0280111026806704,0.0002043348501145,0.0016270873289424,0.0583333333333333,4,1.6666666666666667,0.0008940344175166,63,0.0001719842141317,2020,False,0.0,0.0
21514,Nanomedicine,32,21,53,0.0052052347304044,0.0154785249712943,0.1474521195320606,0,0.0325288244627765,0.0116845483872924,0.0148539133801885,0.1008325624421831,7,9.285714285714286,0.0021672669552904,123,0.0002866393513202,2020,False,0.0,0.0
1006597,Nanorobotics,22,9,31,0.0041916431221043,0.0056075074425264,0.1446835138561592,0,0.0301972770041374,0.0028065998736336,0.0120395618383514,0.128735632183908,7,6.333333333333333,0.0026692488048746,123,0.0001752346075789,2020,False,0.0,0.0
24117996,SEEC microscopy,0,4,4,0.000211143891002,0.0,0.0,0,0.0264517320731433,0.0008157859115294,-0.0,0.3333333333333333,4,7.0,0.0024973005103952,110,0.0,2020,False,0.0,0.0
1033036,Thin film,15,23,38,0.0035974366425238,0.0186793693630543,0.1338907652191959,0,0.0309189816956121,0.0011987881004103,0.0026950206024566,0.0315315315315315,5,3.0434782608695654,0.0017060463748269,110,0.0004789581887962,2020,False,0.0,0.0
29162730,Zyvex,8,3,11,0.0039816933998055,0.0003407623108252,0.1103686604472005,0,0.0271058649210412,0.0002370363299247,0.0027321258039173,0.1388888888888889,4,1.0,0.0016085581065874,123,2.8396859235439107e-05,2020,False,0.0,0.0
26901564,DNA nanotechnology,26,17,43,0.004599134319062,0.0165545026825951,0.1429252875924771,0,0.0305494183392197,0.0062626539005748,0.0101311495798675,0.1098484848484848,5,6.352941176470588,0.0019803108843682,36,0.0003762386973317,2020,False,0.0,0.0
253418,DNA computing,20,3,23,0.0029610933411773,0.0026741802269328,0.1204331377800258,0,0.0289277072831565,0.0003509796365243,0.0083606997961777,0.1558441558441558,5,3.6666666666666665,0.0009632855532784,36,0.0001114241761222,2020,False,0.0,0.0
14421816,Crysis 2,5,3,8,0.0027869932594799,0.0003933257596164,0.1138410099324982,0,0.0265550927850466,4.583363051486727e-05,0.0009436515049811,0.4,3,2.6666666666666665,0.0018771987530466,7,4.370286217960813e-05,2020,False,0.0,0.0
59717330,Center for Chemistry at the Space-Time Limit,2,3,5,0.0042211549368894,0.0002567393338609,0.0924433261466977,0,0.0262755801565774,8.464623976160279e-06,7.518856342838418e-06,0.3333333333333333,2,1.3333333333333333,0.0033371385201163,57,4.27898889768251e-05,2020,False,0.0,0.0
1032221,National Nanotechnology Initiative,13,0,13,0.0046302615805302,0.0,0.1504235781879684,0,0.0278981356866969,-0.0,0.0108299732932244,0.3076923076923077,7,0.0,0.0046317709820384,123,0.0,2020,False,0.0,0.0
2154371,Extreme ultraviolet lithography,8,4,12,0.0028834853453887,0.0026758515910125,0.1265008135583571,0,0.0273673278819866,0.0003147995971168,0.0014413940688681,0.1636363636363636,4,3.0,0.0014587118822271,92,0.0002058347377701,2020,False,0.0,0.0
