page_id,title,links,categories,date,revision_id
21488,Nanotechnology,"10 nanometer,10&nbsp;nm,100&nbsp;nm,130 nanometer,16 nanometer,20 µm process,20&nbsp;nm,3 nanometer,3&nbsp;nm,5&nbsp;nm,7&nbsp;nm,Albert Fert,Alex Zettl,Allotropes of carbon,American Chemical Society,American Elements,Anthony Seaton,Atomic force microscope,Bandage,Bell Labs,Bell Telephone Laboratories,Berkeley, California,Bijan Davari,Biomineralization,Bionanotechnology,Bionics,CRC Press,Calvin F. Quate,Calvin Quate,Cambridge, Massachusetts,Canon Inc.,Carbon fibers,Carbon nanotube,Carlo Montemagno,Catalysis,Catalytic converter,Cell (biology),Centre national de la recherche scientifique,Chemical & Engineering News,Chenming Hu,Chinese Academy of Sciences,Commodore 64,Cornell University,DNA,DNA nanotechnology,DNA origami,Dawon Kahng,Dual polarisation interferometry,Electrostatic deflection (molecular physics/nanotechnology),Energy applications of nanotechnology,Engines of creation,Eric Drexler,Ethics of nanotechnologies,Feature-oriented scanning,FinFET,Focused ion beam,Framework Programmes for Research and Technological Development,Funding of science,Futures studies,GAAFET,Gerd Binnig,Giant magnetoresistance,Gold,Gold nanoparticle,Grey goo,Harry Kroto,Heinrich Rohrer,Hewlett-Packard,History of nanotechnology,Hitachi,IBM,IBM Zurich Research Laboratory,IEEE Andrew S. Grove Award,Institute of Electrical and Electronics Engineers,Intel,Interface and colloid science,Ion implantation-induced nanoparticle formation,Ion track technology (track etching),Ion track technology (track replication),K. Eric Drexler,KAIST,Kavli Prize,List of emerging technologies,List of nanotechnology applications,List of nanotechnology organizations,List of software for nanostructures modeling,MIT,MOSFET,MOSFET scaling,Magnetic nanochains,Marvin Minsky,Materiomics,Mihail Roco,Miller index,Mohamed Atalla,Molecular Beam Epitaxy,Molecular design software,Molecular machine,Molecular mechanics,Molecular nanotechnology,Molecular scale electronics,Multigate device,Mycoplasma,NAND flash,NEC,Nano-thermite,NanoHUB,Nanobiotechnology,Nanocellulose,Nanoelectromechanical relay,Nanoengineering,Nanofluidics,Nanomaterial,Nanomedicine,Nanometrology,Nanoparticle,Nanorobotics,Nanoscale networks,Nanotechnology education,Nanotechnology in fiction,Nanotechnology in water treatment,Nanotoxicology,Nanoweapons,National Institute for Occupational Safety and Health,National Nanotechnology Initiative,Nature Nanotechnology,Nippon Steel,Nippon Steel & Sumitomo Metal,Nobel Prize in Chemistry,Nobel Prize in Physics,Noncovalent bonding,Norio Taniguchi,Nucleic acid design,Nucleic acid double helix,Osaka University,Panasonic,Peter Grünberg,Programmable matter,Project on Emerging Nanotechnologies,Public health,Quantum mechanics,Richard Feynman,Richard Smalley,Robert Curl,Royal Society,Russian Academy of Sciences,SK Hynix,Samsung,Samsung Electronics,Scanning Tunneling Microscope,Science (journal),Self-assembly of nanoparticles,Semiconductor device,Semiconductor device fabrication,Semiconductor fabrication,Silver Nano,Spanish National Research Council,Static random-access memory,Sumio Iijima,Supramolecular complex,Surface reconstruction,TDK,TSMC,The Daily Star (Bangladesh),The Foresight Institute,There's Plenty of Room at the Bottom,Thomas Faunce,Tissue Engineering,Tohoku University,Tom's Hardware,Top-down and bottom-up,Toshiba,Toxicology Letters,Transfersome,Translational research,Transmission electron microscopy,Trouser,Tsu-Jae King Liu,University of California, Berkeley,University of Illinois,University of Tokyo,Video game console,Wet nanotechnology,Wiley (publisher),World Intellectual Property Organization,X-ray lithography,asbestos,asbestosis,atom,atomic force microscope,atomic layer deposition,bacteriostatic,base pair,biological,biology,biomaterial,biomedical,biomimetic,biomimicry,biomolecule,biosensor,bis-peptide,bond length,bovine spongiform encephalopathy,bowling ball,buckyball,cantilever,carbon nanotube,carbon nanotubes,catalyst,cell (biology),chemical,chemical synthesis,confocal microscope,deliberations,dip pen nanolithography,drug,drug delivery,electron beam lithography,electronics,energy storage,engineering,enzyme,femtotechnology,fibrosis,fuel,fullerene,fullerenes,gate oxide,gate-all-around,gecko tape,general practitioner,gold,golf ball,graphene,implications of nanotechnology,inclined plane,information science,intermolecular force,kinetic diameter,laser,macroscopic scale,magnetic nano chains,materials science,mechanosynthesis,metal,metal gate,metal–semiconductor junction,microelectromechanical systems,microfabrication,microprocessor,microtechnology,molecular,molecular assembler,molecular beam epitaxy,molecular biology,molecular engineering,molecular machine,molecular nanotechnology,molecular recognition,molecular self-assembly,molecular switch,molecule,multi-level cell,nanocar,nanocrystal,nanoelectromechanical systems,nanoelectronic,nanoelectronics,nanoimprint lithography,nanoionics,nanolithography,nanomachine,nanomaterial,nanomaterials,nanomechanics,nanomedicine,nanometer,nanometers,nanomotor,nanoparticle,nanophotonics,nanopillar,nanorod,nanotoxicology,nanotube nanomotor,nanowire,nanowire lasers,nucleic acid,optical lithography,organic chemistry,organic synthesis,osteoclast,patent,personal computer,phonograph,photodetector,picotechnology,polymer,precautionary principle,productive nanosystems,protein folding,pulmonary disease,quantum,quantum dots,quantum mechanics,quantum realm,quantum well,regulation of nanotechnology,research and development,risk perception,rotaxane,scanning acoustic microscope,scanning probe microscopy,scanning tunneling microscope,scanning tunneling microscopy,self-assembly,semiconductor device fabrication,semiconductor memory,semiconductor physics,silicon,silver nanoparticles,socks,solar cell,spintronics,statistical mechanics,stochastic,substrate (biochemistry),superhydrophobicity,supramolecular assembly,supramolecular chemistry,surface science,synthetic molecular motor,tennis ball,tetrahedron,thalidomide,thin films,tissue engineering,transistor,tungsten,two dimensional (2D) nanomaterials,unintended consequences,water droplet","['Category:1960 introductions', 'Category:1985 introductions', 'Category:1986 neologisms', 'Category:All Wikipedia articles in need of updating', 'Category:All articles with unsourced statements', 'Category:Articles containing video clips', 'Category:Articles with short description', 'Category:Articles with unsourced statements from February 2025', 'Category:Commons link from Wikidata', 'Category:Nanotechnology', 'Category:Short description is different from Wikidata', 'Category:Wikipedia articles in need of updating from May 2024', 'Category:Wikipedia pages semi-protected against vandalism']",2020-11-29T01:22:38Z,991240570
60786392,Nanotechnology in warfare,"Atomic Energy Act of 1954,Carbon nanotube,Chinese Academy of Sciences,Directed-energy weapon,Harvard Journal of Law & Technology,Massachusetts Institute of Technology,Nanotechnology,Nanoweapons,National Nanotechnology Initiative,Nuclear weapon,USPTO,United States Department of Defense,carbon nanotube,molecular nanotechnology,nano-scale","['Category:All articles lacking reliable references', 'Category:All orphaned articles', 'Category:Articles lacking reliable references from September 2019', 'Category:Articles with short description', 'Category:CS1: long volume value', 'Category:CS1: unfit URL', 'Category:CS1 errors: missing title', 'Category:CS1 errors: periodical ignored', 'Category:CS1 maint: multiple names: authors list', 'Category:Nanotechnology', 'Category:Orphaned articles from December 2022', 'Category:Short description matches Wikidata']",2020-12-13T20:29:24Z,994040291
14431229,Outline of nanotechnology,"Aggregated diamond nanorods,Akhlesh Lakhtakia,Alex Zettl,Allotropes of carbon,American Chemistry Council,American Nano Society,Andre Geim,Applications of nanotechnology,Atomic force microscope,Atomic force microscopy,Bingel reaction,Break junction,Buckypaper,Calculus,Carbon nanofoam,Carbon nanotube,Carbon nanotube actuators,Carlo Montemagno,Catalyst,Center for Responsible Nanotechnology,Ceramic engineering,Ceramics processing,Chemical vapor deposition,Chemistry,Chris Phoenix (nanotechnologist),Colloid,Colloidal crystal,Computer science,DNA computing,DNA machine,DNA nanotechnology,DNA origami,Diamondoids,Electron beam lithography,Electron microscope,Endohedral fullerenes,Endohedral hydrogen fullerene,Energy applications of nanotechnology,Engineering,Engines of Creation,Environmental impact of nanotechnology,Eric Drexler,Erwin Wilhelm Müller,Foresight Institute,Fullerene,Fullerene chemistry,Fullerite,Gerd Binnig,Graphene,Graphene nanoribbon,Green nanotechnology,Grey goo,Harry Kroto,Health and safety hazards of nanomaterials,Health impact of nanotechnology,Heinrich Rohrer,History of nanotechnology,IBM Millipede,Impact of nanotechnology,Implications of nanotechnology,Institute of Occupational Medicine,Ion-beam sculpting,Joseph Wang,Lab-on-a-chip,List of nanotechnology organizations,Macromolecule,Mark Ratner,Materials science,Mechanosynthesis,Mesh networking,Microelectromechanical systems,Micromachinery,Microscopy,Mike Treder,Miniaturization,Molecular assembler,Molecular electronics,Molecular engineering,Molecular modelling,Molecular nanotechnology,Molecular scale electronics,Molecular self-assembly,Monolayer,NBI Knowledgebase,Nano-abacus,Nanoarchitectonics,Nanobiotechnology,Nanocages,Nanochondria,Nanocircuits,Nanocomposite,Nanocomputer,Nanocrystal,Nanoelectromechanical relay,Nanoelectromechanical systems,Nanoelectronics,Nanoengineering,Nanofabrics,Nanofiber,Nanofoam,Nanoimprint lithography,Nanoknot,Nanolithography,Nanomaterials,Nanomechanics,Nanomedicine,Nanomesh,Nanometer,Nanometrology,Nanomotor,Nanoparticle,Nanophotonics,Nanopillar,Nanopin film,Nanopore,Nanopore sequencing,Nanoring,Nanorobotics,Nanorod,Nanoscopic scale,Nanosensor,Nanoshell,Nanostructure,Nanosub,Nanotechnology,Nanotechnology in fiction,Nanotoxicology,Nanotribology,Nanotube membrane,National Cancer Institute,National Institutes of Health,National Nanotechnology Initiative,Norio Taniguchi,OCSiAl,Outline (list),Phaedon Avouris,Photolithography,Photonic crystal,Physics,Potential applications of carbon nanotubes,Potential well,Prato reaction,Programmable matter,Project on Emerging Nanotechnologies,Protein engineering,Quantum computing,Quantum confinement,Quantum dot,Quantum heterostructure,Quantum mechanics,Quantum point contact,Quantum tunneling,Ralph Merkle,Regulation of nanotechnology,Richard Feynman,Richard Smalley,Robert Freitas,Robotics,Russell Berrie Nanotechnology Institute,Russian Nanotechnology Corporation,Sarfus,Scanning probe lithography,Scanning probe microscope,Scanning tunneling microscope,Science,Sculptured thin film,Self reconfigurable,Self-assembled monolayer,Self-assembly,Self-organization,Self-replication,Seventh Framework Programme (FP7),Smartdust,Societal impact of nanotechnology,Sumio Iijima,Super resolution microscopy,Supramolecular assembly,Supramolecular chemistry,Surface micromachining,Synthetic molecular motors,Technion,Technological singularity,Timeline of carbon nanotubes,Tissue engineering,Uri Sivan,Utility fog,atom probe,buckminsterfullerene,carbon nanotube,carbon nanotubes,field ion microscope,graphene,medicine,scanning tunneling microscope,sculptured thin film","['Category:Articles with short description', 'Category:Nanotechnology', 'Category:Outlines', 'Category:Outlines of applied sciences', 'Category:Pages using Sister project links with default search', 'Category:Short description is different from Wikidata']",2020-07-05T11:33:49Z,966154240
7064233,History of nanotechnology,"1 µm process,10 nanometer,10&nbsp;nm,100&nbsp;nm,16 nanometer,20 µm process,20&nbsp;nm,3&nbsp;nm,5&nbsp;nm,7&nbsp;nm,American Association for the Advancement of Science,American Elements,American Physical Society,Bell Labs,Bijan Davari,Bill Clinton,Bill Joy,CRC Press,California Institute of Technology,Caltech,Calvin Quate,Canon Inc.,Centre national de la recherche scientifique,Chemical & Engineering News,Chenming Hu,Chinese Academy of Sciences,Christoph Gerber,Cluster (physics),Counterargument,DARPA,DNA nanotechnology,Dawon Kahng,Disruptive technology,Don Eigler,Engines of Creation,Engines of creation,Executive Office of the President of the United States,FinFET,Foresight Institute,Fullerene,Funding of science,GAAFET,George W. Bush,Gerd Binnig,Glazing (window),Harry Kroto,Heinrich Rohrer,History of graphene,History of nanotechnology,Hitachi,IBM,IBM (atoms),IBM Zurich Research Laboratory,IEEE Andrew S. Grove Award,Implications of nanotechnology,Institute of Electrical and Electronics Engineers,Intel,Interface and colloid science,Irving Langmuir,K. Eric Drexler,KAIST,Katharine B. Blodgett,Kavli Prize,Keeladi,List of nanotechnology applications,Lusterware,MIT Media Lab,MOSFET,MOSFET scaling,Mesopotamia,Metal–semiconductor junction,Michael Crichton,Middle Ages,Mihail Roco,Mohamed Atalla,Molecular Nanotechnology,Multigate device,Muslim world,NEC,National Nanotechnology Initiative,National Science Foundation,National Science and Technology Council,Nature (journal),Nippon Steel,Nobel Prize in Chemistry,Nobel Prize in Physics,Office of Science and Technology Policy,Omni (magazine),Osaka University,Prince Charles,Project on Emerging Nanotechnologies,Ray Kurzweil,Renaissance,Richard Adolf Zsigmondy,Richard Feynman,Richard Smalley,Robert Curl,Royal Academy of Engineering,Royal Society,Russian Academy of Sciences,SK Hynix,Samsung Electronics,Scanning Tunneling Microscope,Science (journal),Scientific American,Semiconductor device fabrication,Silver Nano,Sumio Iijima,Sun Microsystems,TSMC,The Singularity Is Near,There's Plenty of Room at the Bottom,Timeline of carbon nanotubes,Tokyo University of Science,Tom's Hardware,Toshiba,Tsu-Jae King Liu,US$,Unabomber,United States,University of Arizona,University of California, Berkeley,University of South Carolina,University of Tokyo,Van der Waals force,Wiley (publisher),Wired (magazine),World Intellectual Property Organization,Xenon,allotropy,artisan,atomic force microscope,atomic layer deposition,buckminsterfullerene,carbon nanotube,carbon nanotubes,cementite,clay,copper,copper nanoparticle,cultural anthropologist,cybernetic revolt,deterministic,dystopian,endangered species,endohedral fullerenes,fullerene,fullerenes,gate oxide,gate-all-around,genetic engineering,genetics,gold,grey goo,light,mass spectrometry,metal gate,metal–semiconductor junction,molecular assembler,molecular manufacturing,molecular nanotechnology,monolayer,nanocrystal,nanoelectronic,nanoelectronics,nanomaterials,nanoparticle,nanoscience,nanotechnology,nanowires,nuclear bomb,ochre,open letter,oxide,physicist,pottery,quantum dots,research and development,robotics,salt (chemistry),scanning tunneling microscope,self-replicating machine,semiconductor,semiconductor device fabrication,signed into law,silver,silver nanoparticle,silver nanoparticles,stochastic,straw man,surface tension,thin films,titanium dioxide,transistor,transistors,tungsten,ultramicroscope,vinegar,wavelength,wootz steel,zinc oxide","['Category:All articles with unsourced statements', 'Category:All articles with vague or ambiguous time', 'Category:Articles with short description', 'Category:Articles with unsourced statements from June 2014', 'Category:CS1 errors: generic name', 'Category:CS1 maint: multiple names: authors list', 'Category:History of technology', 'Category:Nanotechnology', 'Category:Short description is different from Wikidata', 'Category:Vague or ambiguous time from March 2023']",2020-12-31T03:11:43Z,997353361
49615253,5D optical data storage,"3D optical data storage,Arch Mission Foundation,CNBC,CNN,Data store,Elon Musk,Elon Musk's Tesla Roadster,Git,GitHub,Microsoft,Mode-locking,Objective (optics),Polarization (waves),Three-dimensional space (mathematics),University of Southampton,femtosecond,fused quartz,gold,mode-locking,nanostructure,numerical aperture,plasmon,silver nanoparticle,terabyte","['Category:Articles with short description', 'Category:Big data', 'Category:Digital preservation', 'Category:Nanotechnology', 'Category:Non-volatile memory', 'Category:Pages displaying short descriptions of redirect targets via Module:Annotated link', 'Category:Quartz', 'Category:Short description is different from Wikidata', 'Category:Solid-state computer storage media', 'Category:Use dmy dates from September 2019']",2020-11-18T16:19:56Z,989370076
11591432,Acoustic droplet ejection,"Acoustic droplet vaporization,Alfred Lee Loomis,Assay miniaturization,Beckman Coulter,Direct loading of mass spectrometers,Eliminating cross-contamination,High throughput screening,IBM,Litre,Microelectromechanical systems,Reducing plastic waste in biological research,Robert W. Wood,Xerox,coefficient of variation,nozzle,pin tool,pipette,proteomics,surface tension,surface tension.","['Category:Acoustics', 'Category:CS1: long volume value', 'Category:Microfluidics', 'Category:Microtechnology', 'Category:Nanotechnology', 'Category:Ultrasound']",2020-12-31T10:02:58Z,997405189
63883339,Nanotechnology in agriculture,"Agrobacterium,Algal bloom,Black-eyed pea,Florida,Magnesium,Nanometre,Nitrogen,Phosphorus,Potassium,Quantum mechanics,Surface runoff,adsorption,agriculture,ascorbic acid,bioaccumulation,carbon nanotubes,cation exchange capacity,classical mechanics,complexation,crop yield,diffusion,fertilizer,fertilizers,food supply,gene expression,gene gun,gene transformation,genetic engineering,genetic modification,genetic modifications,gold,growing cycles,ion,ion exchange,nanomaterial,nanoparticles,nanotechnology,photosynthesis,protoplasts,small interfering RNA,starch,zinc","['Category:Agricultural technology', 'Category:CS1: long volume value', 'Category:CS1 maint: DOI inactive as of October 2025', 'Category:CS1 maint: multiple names: editors list', 'Category:Nanotechnology']",2020-12-22T00:41:45Z,995617940
54457921,Alternating current electrospinning,Electrospinning,"['Category:Nanotechnology', 'Category:Spinning']",2020-12-13T19:35:14Z,994028381
38324933,Applications of nanotechnology,"American Elements,Energy applications of nanotechnology,Green nanotechnology,Groundwater remediation applications of nanotechnology,Industrial applications of nanotechnology,Nanoart,Nanobiotechnology,Nanoelectronics,Nanomedicine,Nanotechnology in warfare,Nanotechnology in water treatment,Potential applications of carbon nanotubes,Project on Emerging Nanotechnologies,Silver Nano,Titanium dioxide nanoparticle,carbon nanotube,desalination,industrial applications of nanotechnology,nanofiltration,nanomaterials,nanoremediation,silver nanoparticles","['Category:All articles with self-published sources', 'Category:Articles with self-published sources from May 2024', 'Category:Articles with short description', 'Category:Nanotechnology', 'Category:Short description is different from Wikidata', 'Category:Wikipedia articles needing page number citations from May 2024']",2020-12-30T03:32:29Z,997128362
11448262,Artificial enzyme,"Abzyme,Biomimetics,Bioorthogonal chemistry,Carbon nanotube,Catalysis,Density functional theory,Directed evolution,Ebola virus,Enzyme,Fullerene,Graphene,Host–guest chemistry,Metal-organic framework,Molecular machine,Molecularly imprinted polymer,Nanochemistry,Origin of life,Oxidase,Parkinson’s disease,Prussian blue,Rosetta@home,Superoxide dismutase,Supramolecular chemistry,Synzyme,University of Cambridge,Vanadium(V) oxide,Yan Xiyun,Zeolite,active site,amino acid,calixarene,catalysis,catechol oxidase,crown ethers,cyclodextrin,fluorophore,fullerene,functional group,glucose,glucose oxidase,hemin,hemocyanin,hydrogen peroxide,inflammatory bowel disease,metalloproteins,nanomaterials,nanoparticle,peptide,peroxidase,prodrug,single-nucleotide polymorphism,small molecule,substrate (biochemistry),tyrosinase","['Category:Articles with short description', 'Category:Enzymes', 'Category:Nanotechnology', 'Category:Short description with empty Wikidata description', 'Category:Synthetic biology']",2020-12-19T04:04:34Z,995086962
